sigma,omega,fdm_s1,fdm_cut_N1,fdm_cut_N3,fdm_full,M_cut_N1,binds_N1,M_cut_N3,binds_N3,file
0.5983934,0.2684778,9.971803389552373e-32,6.661405267395922e-32,6.661405267395922e-32,6.661405267395922e-32,87.04958,array_max,87.04958,array_max,sigma0.5983934_W0.2684778_l1e-04_h1e+06.txt
0.7135192,0.3249294,4.5537001561429947e-29,3.049190340929452e-29,3.049190340929452e-29,3.049190340929452e-29,249.9278,array_max,249.9278,array_max,sigma0.7135192_W0.3249294_l1e-04_h1e+06.txt
0.723056,0.293519,2.534293040357644e-29,1.6984155447052992e-29,1.6984155447052992e-29,1.6984155447052992e-29,166.5812,array_max,166.5812,array_max,sigma0.723056_W0.293519_l1e-04_h1e+06.txt
0.7335478,0.3774995,1.1210029356658102e-28,7.498739610988558e-29,7.498739610988558e-29,7.498739610988558e-29,484.1638,array_max,484.1638,array_max,sigma0.7335478_W0.3774995_l1e-04_h1e+06.txt
0.7616072,0.2230594,2.3824999138784557e-30,1.6106887037263504e-30,1.6106887037263504e-30,1.6106887037263504e-30,56.9361,array_max,56.9361,array_max,sigma0.7616072_W0.2230594_l1e-04_h1e+06.txt
0.9006501,0.3208328,1.547200721393956e-28,1.0345943056878262e-28,1.0345943056878262e-28,1.0345943056878262e-28,327.9815,array_max,327.9815,array_max,sigma0.9006501_W0.3208328_l1e-04_h1e+06.txt
0.9135001,0.2963916,1.2343512018102194e-28,8.2544390196389e-29,8.2544390196389e-29,8.2544390196389e-29,241.1969,array_max,241.1969,array_max,sigma0.9135001_W0.2963916_l1e-04_h1e+06.txt
0.9683965,0.2514252,8.452925282883611e-29,5.654709042623248e-29,5.654709042623248e-29,5.654709042623248e-29,132.3932,array_max,132.3932,array_max,sigma0.9683965_W0.2514252_l1e-04_h1e+06.txt
100000.0,0.0134339933,0.0027140954113308,0.002152088195046656,0.002152088195046656,0.0021520882129585947,7.236289,abundance,7.236289,abundance,sigma100000.0_W0.0134339933_l1e-04_h1e+06.txt
100000.0,0.0180472177,0.0037410464304193,0.002841325869747428,0.0028413257233735217,0.0028413258927178905,22.92285,abundance,18.21703,abundance,sigma100000.0_W0.0180472177_l1e-04_h1e+06.txt
100000.0,0.01,0.0018302984465288,0.001554736209753974,0.001554736209753974,0.0015547362206403085,2.329963,abundance,2.329963,abundance,sigma100000.0_W0.01_l1e-04_h1e+06.txt
100000.0,0.0242446202,0.0049180983053886,0.003629071040215984,0.003629071040215984,0.00362907125893394,58.13714,abundance,58.13714,abundance,sigma100000.0_W0.0242446202_l1e-04_h1e+06.txt
100000.0,0.0325702066,0.0062158524024861,0.004496367410649325,0.0044963660499094515,0.004496367646763613,189.1444,abundance,146.9674,abundance,sigma100000.0_W0.0325702066_l1e-04_h1e+06.txt
100000.0,0.0437547938,0.0075664446037052,0.005398295152965516,0.005398295152965516,0.005398296713114257,483.4185,abundance,483.4185,abundance,sigma100000.0_W0.0437547938_l1e-04_h1e+06.txt
100000.0,0.0587801607,0.0089978446985473,0.006354063736288339,0.006354063736288339,0.006354070869457345,1232.592,abundance,1232.592,abundance,sigma100000.0_W0.0587801607_l1e-04_h1e+06.txt
100000.0,0.0789652287,0.010486586849657,0.007348224888260135,0.007348196125150928,0.007348229695232501,4150.052,abundance,3118.207,abundance,sigma100000.0_W0.0789652287_l1e-04_h1e+06.txt
100000.0,0.106081836,0.0120125649811182,0.008367363142874016,0.008367363142874016,0.008367393803852988,10609.63,abundance,10609.63,abundance,sigma100000.0_W0.106081836_l1e-04_h1e+06.txt
100000.0,0.142510267,0.0136257774607131,0.009444794692461091,0.009444794692461091,0.00944494607312618,27136.84,abundance,27136.84,abundance,sigma100000.0_W0.142510267_l1e-04_h1e+06.txt
100000.0,0.191448198,0.0153856416723374,0.010620489704502648,0.01061996786723713,0.010620580215042977,94461.14,abundance,68656.7,abundance,sigma100000.0_W0.191448198_l1e-04_h1e+06.txt
100000.0,0.257191381,0.0172870063795167,0.01189082417922577,0.011889046823487773,0.011891139488757125,238842.9,abundance,171723.7,abundance,sigma100000.0_W0.257191381_l1e-04_h1e+06.txt
100000.0,0.345510729,0.0193894666444532,0.013295330844585718,0.013290647299992003,0.01329658189723322,611042.5,abundance,434528.1,abundance,sigma100000.0_W0.345510729_l1e-04_h1e+06.txt
100000.0,0.464158883,0.0217218396753076,0.01487380545045161,0.01487380545045161,0.014878127659314344,1549272.0,abundance,1549272.0,abundance,sigma100000.0_W0.464158883_l1e-04_h1e+06.txt
100000.0,0.623550734,0.023609421188175,0.016659699357914143,0.016659699357914143,0.016672584815812644,3869863.0,abundance,3869863.0,abundance,sigma100000.0_W0.623550734_l1e-04_h1e+06.txt
