sigma,omega,fdm_trap,fdm_vegas,meq_vegas,Q_f,Q_m,M_lo,M_hi,file
0.3118551,0.2867222,1.7335639052630912e-35,1.733549752298407e-35,0.3840607732262139,0.0803965188139578,0.0803965188139578,0.0002536582,41.19972,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.3118551_W0.2867222_l1e-04_h1e+06.txt
0.3230841,0.3459551,5.5216501063300614e-33,5.521653485745887e-33,1.2319874826055268,0.6506989625784665,0.6506989625784665,0.0002189761,98.88291,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.3230841_W0.3459551_l1e-04_h1e+06.txt
0.3267663,0.4280215,3.1870110046430624e-32,3.186996557548843e-32,2.184796505858392,0.5367146366104938,0.10650779752103771,0.0002145046,252.2218,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.3267663_W0.4280215_l1e-04_h1e+06.txt
0.3436174,0.2754752,1.25420755401543e-34,1.2542127568712607e-34,0.5777450229430421,0.6440436823175029,0.6440436823175029,0.000174789,40.57554,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.3436174_W0.2754752_l1e-04_h1e+06.txt
0.3593814,0.129155,6.214662107310544e-37,6.214661490185287e-37,0.04431639787714931,0.5801718690886801,0.2567896917951225,0.0001515285,1.448912,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.3593814_W0.129155_l1e-02_h1e+06.txt
0.3593814,0.4641589,7.820069391118001e-32,7.820031973943649e-32,2.5177807541030606,0.07348999261107562,0.07348999261107562,0.0001463341,410.8892,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.3593814_W0.4641589_l1e-02_h1e+06.txt
0.3593814,1000.0,2.6996404214934414e-17,2.6996235090336482e-17,490823.13458730245,0.04601502698575679,0.04601502698575679,0.0001514,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.3593814_W1000.0_l1e-02_h1e+06.txt
0.3593814,1.668101,5.156457936899418e-26,5.1564699114542423e-26,222.6307610987351,0.39036513596741707,0.39036513596741707,0.0001411172,79090.38,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.3593814_W1.668101_l1e-02_h1e+06.txt
0.3593814,21.54435,6.0583071266048506e-18,6.0582942075354045e-18,413928.637528401,0.5389005889626757,0.2738940634292724,0.000148283,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.3593814_W21.54435_l1e-02_h1e+06.txt
0.3593814,278.2559,2.648367964604319e-17,2.6483508311354637e-17,487873.5086936914,0.5972685248943067,0.03514989056059202,0.0001514,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.3593814_W278.2559_l1e-02_h1e+06.txt
0.3593814,5.994843,2.3965551908034067e-21,2.3965500149497855e-21,15921.15935014364,0.15411497773327823,0.15411497773327823,0.0001447284,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.3593814_W5.994843_l1e-02_h1e+06.txt
0.3593814,77.42637,2.3604080978974802e-17,2.360402220818796e-17,476392.3970054042,0.30904557425573453,0.30904557425573453,0.0001514,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/Bnds+grid/sigma0.3593814_W77.42637_l1e-02_h1e+06.txt
0.3705834,0.3940786,4.6373221262974576e-32,4.637304112039964e-32,1.63222190780654,0.06302112311575811,0.06302112311575811,0.0001222843,215.2816,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.3705834_W0.3940786_l1e-04_h1e+06.txt
0.3859135,0.315246,1.695356920670681e-32,1.6953504487886044e-32,0.8857722194694362,0.8763241051006565,0.6538937109428147,0.0001046307,88.11144,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.3859135_W0.315246_l1e-04_h1e+06.txt
0.3928498,0.3966978,6.482764956226722e-32,6.482777577447236e-32,1.5923635764544388,0.001126891808645716,0.001126891808645716,0.0001,242.0584,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.3928498_W0.3966978_l1e-04_h1e+06.txt
0.393093,0.3854847,5.778139950110905e-32,5.778132435739709e-32,1.481460251691346,0.25921896267718975,0.25921896267718975,0.0001,213.814,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.393093_W0.3854847_l1e-04_h1e+06.txt
0.4011909,0.3842016,6.324523167667127e-32,6.32452215372286e-32,1.446776211354515,0.14002107695983626,0.14002107695983626,0.0001,217.9299,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.4011909_W0.3842016_l1e-04_h1e+06.txt
0.4049623,0.2563503,4.7327549649761655e-33,4.732758119294798e-33,0.49183158026695134,0.039637691592613496,0.039637691592613496,0.0001,38.95432,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.4049623_W0.2563503_l1e-04_h1e+06.txt
0.4334254,0.3501213,6.355562264019496e-32,6.355630691916491e-32,1.084577050395701,0.35218512200737995,0.3267141809909577,0.0001,165.4547,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.4334254_W0.3501213_l1e-04_h1e+06.txt
